"All Inlinks"
"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/","39445","","Do góry","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/","39445","Lek Iberogast cieszy się zaufaniem","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/zespol-jelita-drazliwego-i-dyspepsja-czynnosciowa/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/historia/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/bole-skurcze-brzucha/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/faq/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/warunki-ogolne/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/polityka-prywatnosci/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/mapa-strony/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/dla-profesjonalistow/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/imprint/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/ulotka/","http://www.iberogast.pl/","39445","Iberogast logo","","200","OK","true"
"HTTP Redirect","http://iberogast.pl/","http://www.iberogast.pl/","39445","","","200","OK","true"
"HTTP Redirect","http://www.iberogast.pl/pl/homepage/","http://www.iberogast.pl/","39445","","","200","OK","true"
"IMG","http://www.iberogast.pl/","http://www.iberogast.pl/static/media/images/iberogast/Iberogast-highly-endorsed-by-doctors-and-pharmacists.jpg","22061","Lek Iberogast cieszy się zaufaniem","","200","OK","true"
"IMG","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/static/media/images/iberogast/Iberogast-highly-endorsed-by-doctors-and-pharmacists.jpg","22061","Iberogast cieszy się zaufaniem.","","200","OK","true"
"IMG","http://www.iberogast.pl/","http://www.iberogast.pl/static/media/images/iberogast/ibero-video2wpb.jpg","23041","Lek Iberogast cieszy się zaufaniem","","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/pl/iberogast/","75981","","Więcej o Iberogast®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/pl/iberogast/","75981","","Do góry","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","DOWIEDZ SIĘ WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
