"Crawl Overview Report by the Screaming Frog SEO Spider (9.4)"
"Site Crawled","http://axa.pl/"
"Date","poniedziałek, lip 23, 2018"
"Time","14:42:25 CEST"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"Total URI Encountered","9556","100,00%","9556","URIs Encountered"
"Total URI Crawled","8928","93,43%","9556","URIs Encountered"
"Total Internal blocked by robots.txt","504","5,27%","9556","URIs Encountered"
"Total External blocked by robots.txt","124","1,30%","9556","URIs Encountered"
""
"URIs Displayed","9432","100,00%","9432","URIs Displayed"
"Total Internal URI","9051","95,96%","9432","URIs Displayed"
"Total External URI","381","4,04%","9432","URIs Displayed"
""
"Internal"
"All","9051","100,00%","9051","Internal URI"
"HTML","2767","30,57%","9051","Internal URI"
"JavaScript","69","0,76%","9051","Internal URI"
"CSS","36","0,40%","9051","Internal URI"
"Images","545","6,02%","9051","Internal URI"
"PDF","4007","44,27%","9051","Internal URI"
"Flash","0","0,00%","9051","Internal URI"
"Other","1627","17,98%","9051","Internal URI"
""
"External"
"All","381","100,00%","381","External URI"
"HTML","284","74,54%","381","External URI"
"JavaScript","6","1,57%","381","External URI"
"CSS","2","0,52%","381","External URI"
"Images","2","0,52%","381","External URI"
"PDF","4","1,05%","381","External URI"
"Flash","0","0,00%","381","External URI"
"Other","83","21,78%","381","External URI"
""
"Protocol"
"All","9148","100,00%","9148","All internal and non HTML external URIs"
"HTTP","207","2,26%","9148","All internal and non HTML external URIs"
"HTTPS","8941","97,74%","9148","All internal and non HTML external URIs"
""
"Response Codes"
"All","9432","100,00%","9432","All Crawled URI"
"Blocked by Robots.txt","504","5,34%","9432","All Crawled URI"
"Blocked Resource","0","0,00%","9432","All Crawled URI"
"No Response","1","0,01%","9432","All Crawled URI"
"Success (2xx)","8599","91,17%","9432","All Crawled URI"
"Redirection (3xx)","296","3,14%","9432","All Crawled URI"
"Redirection (JavaScript)","0","0,00%","9432","All Crawled URI"
"Redirection (Meta Refresh)","3","0,03%","9432","All Crawled URI"
"Client Error (4xx)","22","0,23%","9432","All Crawled URI"
"Server Error (5xx)","9","0,10%","9432","All Crawled URI"
""
"Content"
"Large Pages (Over 100kb)","1351","49,69%","2719","Internal HTML pages with 2xx response"
"Low Content Pages (Under 300 Words)","546","20,08%","2719","Internal HTML pages with 2xx response"
""
"URI"
"All","9051","100,00%","9051","Internal URI"
"Non ASCII Characters","7","0,08%","9051","Internal URI"
"Underscores","1240","13,70%","9051","Internal URI"
"Uppercase","1634","18,05%","9051","Internal URI"
"Duplicate","1730","19,11%","9051","Internal URI"
"Parameters","1768","19,53%","9051","Internal URI"
"Over 115 Characters","1523","16,83%","9051","Internal URI"
""
"Page Titles"
"All","2719","100,00%","2719","Internal HTML pages with 2xx response"
"Missing","529","19,46%","2719","Internal HTML pages with 2xx response"
"Duplicate","1390","51,12%","2719","Internal HTML pages with 2xx response"
"Over 65 Characters","67","2,46%","2719","Internal HTML pages with 2xx response"
"Below 30 Characters","1347","49,54%","2719","Internal HTML pages with 2xx response"
"Over 571 Pixels","44","1,62%","2719","Internal HTML pages with 2xx response"
"Below 200 Pixels","61","2,24%","2719","Internal HTML pages with 2xx response"
"Same as H1","155","5,70%","2719","Internal HTML pages with 2xx response"
"Multiple","1","0,04%","2719","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","2719","100,00%","2719","Internal HTML pages with 2xx response"
"Missing","860","31,63%","2719","Internal HTML pages with 2xx response"
"Duplicate","1457","53,59%","2719","Internal HTML pages with 2xx response"
"Over 320 Characters","0","0,00%","2719","Internal HTML pages with 2xx response"
"Below 70 Characters","1318","48,47%","2719","Internal HTML pages with 2xx response"
"Over 1866 Pixels","0","0,00%","2719","Internal HTML pages with 2xx response"
