"Crawl Overview Report by the Screaming Frog SEO Spider (10.2)"
"Site Crawled","https://www.volvocars.com/pl"
"Date","piątek, paź 12, 2018"
"Time","09:22:01 CEST"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"Total URI Encountered","5657","100,00%","5657","URIs Encountered"
"Total URI Crawled","5655","99,96%","5657","URIs Encountered"
"Total Internal blocked by robots.txt","0","0,00%","5657","URIs Encountered"
"Total External blocked by robots.txt","2","0,04%","5657","URIs Encountered"
""
"URIs Displayed","5655","100,00%","5655","URIs Displayed"
"Total Internal URI","894","15,81%","5655","URIs Displayed"
"Total External URI","4761","84,19%","5655","URIs Displayed"
""
"Internal"
"All","894","100,00%","894","Internal URI"
"HTML","875","97,87%","894","Internal URI"
"JavaScript","5","0,56%","894","Internal URI"
"CSS","1","0,11%","894","Internal URI"
"Images","1","0,11%","894","Internal URI"
"PDF","0","0,00%","894","Internal URI"
"Flash","0","0,00%","894","Internal URI"
"Other","12","1,34%","894","Internal URI"
"Unknown","0","0,00%","894","Internal URI"
""
"External"
"All","4761","100,00%","4761","External URI"
"HTML","63","1,32%","4761","External URI"
"JavaScript","13","0,27%","4761","External URI"
"CSS","2","0,04%","4761","External URI"
"Images","4607","96,77%","4761","External URI"
"PDF","37","0,78%","4761","External URI"
"Flash","0","0,00%","4761","External URI"
"Other","39","0,82%","4761","External URI"
"Unknown","0","0,00%","4761","External URI"
""
"Protocol"
"All","5592","100,00%","5592","All internal and non HTML external URIs"
"HTTP","37","0,66%","5592","All internal and non HTML external URIs"
"HTTPS","5555","99,34%","5592","All internal and non HTML external URIs"
""
"Response Codes"
"All","5655","100,00%","5655","All Crawled URI"
"Blocked by Robots.txt","0","0,00%","5655","All Crawled URI"
"Blocked Resource","0","0,00%","5655","All Crawled URI"
"No Response","2","0,04%","5655","All Crawled URI"
"Success (2xx)","5494","97,15%","5655","All Crawled URI"
"Redirection (3xx)","62","1,10%","5655","All Crawled URI"
"Redirection (JavaScript)","0","0,00%","5655","All Crawled URI"
"Redirection (Meta Refresh)","0","0,00%","5655","All Crawled URI"
"Client Error (4xx)","96","1,70%","5655","All Crawled URI"
"Server Error (5xx)","1","0,02%","5655","All Crawled URI"
""
"Content"
"Large Pages (Over 100KB)","758","97,93%","774","Internal HTML pages with 2xx response"
"Low Content Pages (Under 300 Words)","23","2,97%","774","Internal HTML pages with 2xx response"
""
"URI"
"All","894","100,00%","894","Internal URI"
"Non ASCII Characters","11","1,23%","894","Internal URI"
"Underscores","42","4,70%","894","Internal URI"
"Uppercase","258","28,86%","894","Internal URI"
"Duplicate","141","15,77%","894","Internal URI"
"Parameters","425","47,54%","894","Internal URI"
"Over 115 Characters","2","0,22%","894","Internal URI"
""
"Page Titles"
"All","774","100,00%","774","Internal HTML pages with 2xx response"
"Missing","10","1,29%","774","Internal HTML pages with 2xx response"
"Duplicate","504","65,12%","774","Internal HTML pages with 2xx response"
"Over 65 Characters","92","11,89%","774","Internal HTML pages with 2xx response"
"Below 30 Characters","548","70,80%","774","Internal HTML pages with 2xx response"
"Over 571 Pixels","74","9,56%","774","Internal HTML pages with 2xx response"
"Below 200 Pixels","287","37,08%","774","Internal HTML pages with 2xx response"
"Same as H1","0","0,00%","774","Internal HTML pages with 2xx response"
"Multiple","190","24,55%","774","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","774","100,00%","774","Internal HTML pages with 2xx response"
"Missing","357","46,12%","774","Internal HTML pages with 2xx response"
"Duplicate","49","6,33%","774","Internal HTML pages with 2xx response"
"Over 320 Characters","148","19,12%","774","Internal HTML pages with 2xx response"
"Below 70 Characters","545","70,41%","774","Internal HTML pages with 2xx response"
"Over 1866 Pixels","154","19,90%","774","Internal HTML pages with 2xx response"
"Below 400 Pixels","544","70,28%","774","Internal HTML pages with 2xx response"
"Multiple","190","24,55%","774","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","774","100,00%","774","Internal HTML pages with 2xx response"
"Missing","748","96,64%","774","Internal HTML pages with 2xx response"
"Duplicate","2","0,26%","774","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","774","Internal HTML pages with 2xx response"
""
"H1"
"All","774","100,00%","774","Internal HTML pages with 2xx response"
"Missing","49","6,33%","774","Internal HTML pages with 2xx response"
"Duplicate","530","68,48%","774","Internal HTML pages with 2xx response"
"Over 70 Characters","22","2,84%","774","Internal HTML pages with 2xx response"
"Multiple","274","35,40%","774","Internal HTML pages with 2xx response"
""
"H2"
"All","774","100,00%","774","Internal HTML pages with 2xx response"
"Missing","216","27,91%","774","Internal HTML pages with 2xx response"
"Duplicate","338","43,67%","774","Internal HTML pages with 2xx response"
"Over 70 Characters","33","4,26%","774","Internal HTML pages with 2xx response"
"Multiple","446","57,62%","774","Internal HTML pages with 2xx response"
""
"Images"
"All","4608","100,00%","4608","Images with 2xx response"
"Over 100 KB","184","3,99%","4608","Images with 2xx response"
"Missing Alt Text","762","16,54%","4608","Images with 2xx response"
"Alt Text Over 100 Characters","0","0,00%","4608","Images with 2xx response"
""
"Canonicals"
"All","774","100,00%","774","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","748","96,64%","774","Internal HTML or PDF pages with 2xx response"
"Self Referencing","333","43,02%","774","Internal HTML or PDF pages with 2xx response"
"Canonicalised","415","53,62%","774","Internal HTML or PDF pages with 2xx response"
"Missing","26","3,36%","774","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0,00%","774","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0,00%","774","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","774","100,00%","774","Internal HTML pages with 2xx response"
"Contains Pagination","0","0,00%","774","Internal HTML pages with 2xx response"
"First Page","0","0,00%","774","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0,00%","774","Internal HTML pages with 2xx response"
"Pagination URL Not In Anchor Tag","0","0,00%","774","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0,00%","774","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0,00%","774","Internal HTML pages with 2xx response"
"Non-Indexable","0","0,00%","774","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0,00%","774","Internal HTML pages with 2xx response"
"Pagination Loop","0","0,00%","774","Internal HTML pages with 2xx response"
"Sequence Error","0","0,00%","774","Internal HTML pages with 2xx response"
""
"Directives"
"All","781","100,00%","781","Internal URI with 2xx response"
"Index","0","0,00%","781","Internal URI with 2xx response"
"Noindex","18","2,30%","781","Internal URI with 2xx response"
"Follow","0","0,00%","781","Internal URI with 2xx response"
"Nofollow","20","2,56%","781","Internal URI with 2xx response"
"None","0","0,00%","781","Internal URI with 2xx response"
"NoArchive","0","0,00%","781","Internal URI with 2xx response"
"NoSnippet","0","0,00%","781","Internal URI with 2xx response"
"NoODP","4","0,51%","781","Internal URI with 2xx response"
"NoYDIR","0","0,00%","781","Internal URI with 2xx response"
"NoImageIndex","0","0,00%","781","Internal URI with 2xx response"
"NoTranslate","0","0,00%","781","Internal URI with 2xx response"
"Unavailable_After","0","0,00%","781","Internal URI with 2xx response"
"Refresh","0","0,00%","774","Internal HTML pages with 2xx response"
""
"Hreflang"
"All","774","100,00%","774","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0,00%","774","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0,00%","774","Internal pages with 2xx response"
"Missing Confirmation Links","0","0,00%","774","Internal pages with 2xx response"
"Inconsistent Language Confirmation Links ","0","0,00%","774","Internal pages with 2xx response"
"Non Canonical Confirmation Links","0","0,00%","774","Internal pages with 2xx response"
"Noindex Confirmation Links","0","0,00%","774","Internal pages with 2xx response"
"Incorrect Language Codes","0","0,00%","774","Internal pages with 2xx response"
"Multiple Entries","0","0,00%","774","Internal pages with 2xx response"
"Missing Self Reference","0","0,00%","774","Internal pages with 2xx response"
"Not Using Canonical","0","0,00%","774","Internal pages with 2xx response"
"Missing X-Default","0","0,00%","774","Internal pages with 2xx response"
"Missing","774","100,00%","774","Internal pages with 2xx response"
""
"AJAX"
"All","0","0,00%","0","Internal pages crawled in escaped fragment form"
"With hash fragment","0","0,00%","0","Internal pages crawled in escaped fragment form"
"Without hash fragment","0","0,00%","0","Internal pages crawled in escaped fragment form"
""
"AMP"
"All","0","0,00%","0","Internal AMP URLs"
"Non-200 Response","0","0,00%","0","Internal AMP URLs"
"Non-Confirming Canonical","0","0,00%","0","Internal AMP URLs"
"Missing Non-AMP Canonical","0","0,00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0,00%","0","Internal AMP URLs"
"Indexable","0","0,00%","0","Internal AMP URLs"
"Non-Indexable","0","0,00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0,00%","0","Internal AMP URLs"
"Missing/Invalid <!doctype html> Tag","0","0,00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0,00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0,00%","0","Internal AMP URLs"
"Missing Canonical","0","0,00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0,00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0,00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0,00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0,00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0,00%","0","Internal AMP URLs"
"Other Validation Errors","0","0,00%","0","Internal AMP URLs"
""
"Sitemaps"
"All","893","100,00%","893","Internal HTML/XML pages"
