"Crawl Overview Report by the Screaming Frog SEO Spider (9.4)"
"Site Crawled","http://ford.pl/"
"Date","piątek, lip 13, 2018"
"Time","09:09:19 CEST"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"Total URI Encountered","2027","100,00%","2027","URIs Encountered"
"Total URI Crawled","953","47,02%","2027","URIs Encountered"
"Total Internal blocked by robots.txt","1072","52,89%","2027","URIs Encountered"
"Total External blocked by robots.txt","2","0,10%","2027","URIs Encountered"
""
"URIs Displayed","2025","100,00%","2025","URIs Displayed"
"Total Internal URI","1943","95,95%","2025","URIs Displayed"
"Total External URI","82","4,05%","2025","URIs Displayed"
""
"Internal"
"All","1943","100,00%","1943","Internal URI"
"HTML","733","37,73%","1943","Internal URI"
"JavaScript","12","0,62%","1943","Internal URI"
"CSS","10","0,51%","1943","Internal URI"
"Images","5","0,26%","1943","Internal URI"
"PDF","108","5,56%","1943","Internal URI"
"Flash","0","0,00%","1943","Internal URI"
"Other","1075","55,33%","1943","Internal URI"
""
"External"
"All","82","100,00%","82","External URI"
"HTML","74","90,24%","82","External URI"
"JavaScript","3","3,66%","82","External URI"
"CSS","0","0,00%","82","External URI"
"Images","0","0,00%","82","External URI"
"PDF","0","0,00%","82","External URI"
"Flash","0","0,00%","82","External URI"
"Other","5","6,10%","82","External URI"
""
"Protocol"
"All","1951","100,00%","1951","All internal and non HTML external URIs"
"HTTP","8","0,41%","1951","All internal and non HTML external URIs"
"HTTPS","1943","99,59%","1951","All internal and non HTML external URIs"
""
"Response Codes"
"All","2025","100,00%","2025","All Crawled URI"
"Blocked by Robots.txt","1072","52,94%","2025","All Crawled URI"
"Blocked Resource","0","0,00%","2025","All Crawled URI"
"No Response","0","0,00%","2025","All Crawled URI"
"Success (2xx)","834","41,19%","2025","All Crawled URI"
"Redirection (3xx)","84","4,15%","2025","All Crawled URI"
"Redirection (JavaScript)","0","0,00%","2025","All Crawled URI"
"Redirection (Meta Refresh)","0","0,00%","2025","All Crawled URI"
"Client Error (4xx)","16","0,79%","2025","All Crawled URI"
"Server Error (5xx)","19","0,94%","2025","All Crawled URI"
""
"Content"
"Large Pages (Over 100kb)","626","99,05%","632","Internal HTML pages with 2xx response"
"Low Content Pages (Under 300 Words)","4","0,63%","632","Internal HTML pages with 2xx response"
""
"URI"
"All","1943","100,00%","1943","Internal URI"
"Non ASCII Characters","55","2,83%","1943","Internal URI"
"Underscores","6","0,31%","1943","Internal URI"
"Uppercase","18","0,93%","1943","Internal URI"
"Duplicate","5","0,26%","1943","Internal URI"
"Parameters","59","3,04%","1943","Internal URI"
"Over 115 Characters","0","0,00%","1943","Internal URI"
""
"Page Titles"
"All","632","100,00%","632","Internal HTML pages with 2xx response"
"Missing","3","0,47%","632","Internal HTML pages with 2xx response"
"Duplicate","97","15,35%","632","Internal HTML pages with 2xx response"
"Over 65 Characters","3","0,47%","632","Internal HTML pages with 2xx response"
"Below 30 Characters","198","31,33%","632","Internal HTML pages with 2xx response"
"Over 571 Pixels","3","0,47%","632","Internal HTML pages with 2xx response"
"Below 200 Pixels","103","16,30%","632","Internal HTML pages with 2xx response"
"Same as H1","0","0,00%","632","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","632","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","632","100,00%","632","Internal HTML pages with 2xx response"
"Missing","178","28,16%","632","Internal HTML pages with 2xx response"
"Duplicate","49","7,75%","632","Internal HTML pages with 2xx response"
"Over 320 Characters","1","0,16%","632","Internal HTML pages with 2xx response"
"Below 70 Characters","33","5,22%","632","Internal HTML pages with 2xx response"
"Over 1866 Pixels","1","0,16%","632","Internal HTML pages with 2xx response"
"Below 400 Pixels","26","4,11%","632","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","632","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","632","100,00%","632","Internal HTML pages with 2xx response"
"Missing","631","99,84%","632","Internal HTML pages with 2xx response"
"Duplicate","0","0,00%","632","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","632","Internal HTML pages with 2xx response"
""
"H1"
"All","632","100,00%","632","Internal HTML pages with 2xx response"
"Missing","78","12,34%","632","Internal HTML pages with 2xx response"
"Duplicate","481","76,11%","632","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0,00%","632","Internal HTML pages with 2xx response"
"Multiple","1","0,16%","632","Internal HTML pages with 2xx response"
""
"H2"
"All","632","100,00%","632","Internal HTML pages with 2xx response"
"Missing","5","0,79%","632","Internal HTML pages with 2xx response"
"Duplicate","626","99,05%","632","Internal HTML pages with 2xx response"
"Over 70 Characters","1","0,16%","632","Internal HTML pages with 2xx response"
"Multiple","626","99,05%","632","Internal HTML pages with 2xx response"
""
"Images"
"All","5","100,00%","5","Images with 2xx response"
"Over 100 kb","0","0,00%","5","Images with 2xx response"
"Missing Alt Text","0","0,00%","5","Images with 2xx response"
"Alt Text Over 100 Characters","0","0,00%","5","Images with 2xx response"
""
"Directives"
"All","768","100,00%","768","Internal URI with 2xx response"
"Canonical","626","84,59%","740","Internal HTML or PDF pages with 2xx response"
"Canonical Self Referencing","570","77,03%","740","Internal HTML or PDF pages with 2xx response"
"Canonicalised","56","7,57%","740","Internal HTML or PDF pages with 2xx response"
"No Canonical","114","15,41%","740","Internal HTML or PDF pages with 2xx response"
"Next/Prev","0","0,00%","632","Internal HTML pages with 2xx response"
"Index","3","0,39%","768","Internal URI with 2xx response"
"Noindex","57","7,42%","768","Internal URI with 2xx response"
"Follow","3","0,39%","768","Internal URI with 2xx response"
"Nofollow","0","0,00%","768","Internal URI with 2xx response"
"None","0","0,00%","768","Internal URI with 2xx response"
"NoArchive","0","0,00%","768","Internal URI with 2xx response"
"NoSnippet","0","0,00%","768","Internal URI with 2xx response"
"NoODP","0","0,00%","768","Internal URI with 2xx response"
"NoYDIR","0","0,00%","768","Internal URI with 2xx response"
"NoImageIndex","0","0,00%","768","Internal URI with 2xx response"
"NoTranslate","0","0,00%","768","Internal URI with 2xx response"
"Unavailable_After","0","0,00%","768","Internal URI with 2xx response"
"Refresh","0","0,00%","632","Internal HTML pages with 2xx response"
""
"Hreflang"
"All","768","100,00%","768","Internal pages with 2xx response"
"Missing Confirmation Links","0","0,00%","768","Internal pages with 2xx response"
"Inconsistent Language Confirmation Links ","0","0,00%","768","Internal pages with 2xx response"
"Non Canonical Confirmation Links","0","0,00%","768","Internal pages with 2xx response"
"Noindex Confirmation Links","0","0,00%","768","Internal pages with 2xx response"
"Incorrect Language Codes","0","0,00%","768","Internal pages with 2xx response"
"Multiple Entries","0","0,00%","768","Internal pages with 2xx response"
"Missing Self Reference","0","0,00%","768","Internal pages with 2xx response"
"Not Using Canonical","0","0,00%","768","Internal pages with 2xx response"
"Missing X-Default","0","0,00%","768","Internal pages with 2xx response"
"Missing","768","100,00%","768","Internal pages with 2xx response"
""
"AJAX"
"All","0","0,00%","0","Internal pages crawled in escaped fragment form"
"With hash fragment","0","0,00%","0","Internal pages crawled in escaped fragment form"
"Without hash fragment","0","0,00%","0","Internal pages crawled in escaped fragment form"
""
"Custom"
"Filter 1","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 2","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 3","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 4","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 5","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 6","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 7","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 8","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 9","0","0,00%","632","Internal HTML pages with 2xx response"
"Filter 10","0","0,00%","632","Internal HTML pages with 2xx response"
"Extraction","0","0,00%","632","Internal HTML pages with 2xx response"
""
"Analytics"
"All","1913","100,00%","1913","Internal URI with associated Google Analytics data"
"Sessions Above 0","0","0,00%","1913","Internal URI with associated Google Analytics data"
"Bounce Rate Above 70%","0","0,00%","1913","Internal URI with associated Google Analytics data"
"No GA Data","0","0,00%","1913","Internal URI with associated Google Analytics data"
""
"Search Console"
"All","1913","100,00%","1913","Internal URI with associated Google Search Console data"
"Clicks Above 0","0","0,00%","1913","Internal URI with associated Google Search Console data"
"No GSC Data","0","0,00%","1913","Internal URI with associated Google Search Console data"
""
"Link Metrics"
"All","1823","100,00%","1823","Link Metrics All"
""
""
"Depth (Clicks from Start URL)"
"0","0","0,00%","632","Internal HTML pages with 2xx response"
"1","0","0,00%","632","Internal HTML pages with 2xx response"
"2","1","0,16%","632","Internal HTML pages with 2xx response"
"3","71","11,23%","632","Internal HTML pages with 2xx response"
"4","298","47,15%","632","Internal HTML pages with 2xx response"
"5","225","35,60%","632","Internal HTML pages with 2xx response"
"6","7","1,11%","632","Internal HTML pages with 2xx response"
"7","6","0,95%","632","Internal HTML pages with 2xx response"
"8","2","0,32%","632","Internal HTML pages with 2xx response"
"9","1","0,16%","632","Internal HTML pages with 2xx response"
"10+","21","3,32%","632","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URI)"
"https://www.ford.pl/","629","99,53%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/informacje/kontakt","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/oferta/znajdz/technologie","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/serwis/uzytkowanie-pojazdu/ford-transit24","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/informacje/mapa-strony","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/informacje/polityka-prywatnosci","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/serwis/moj-pojazd/ewidencja-pojazdow","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/oferta/znajdz/uzywane","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/finansowanie/ford-credit/ford-dla-ciebie","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/swiat-forda/o-firmie/historia","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/serwis/obsluga-i-oferty-serwisowe/przeglady-4-plus","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/serwis/uzytkowanie-pojazdu/archiwum-instrukcji","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/nadchodzace-modele","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/serwis/informacje-i-pomoc/sync","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/dostawcze","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/finansowanie/finansowanie-krok-po-kroku/skontaktuj-sie-z-nami","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/serwis/informacje-i-pomoc/zuzycie-i-emisja","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/finansowanie/ford-credit","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.ford.pl/finansowanie/ford-credit/ford-ubezpieczenia","626","99,05%","632","Internal HTML pages with a 2xx response or 3xx responses"
