"Crawl Overview Report by the Screaming Frog SEO Spider (9.4)"
"Site Crawled","http://pizzahut.pl/"
"Date","piątek, lip 27, 2018"
"Time","07:47:32 CEST"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"Total URI Encountered","777","100,00%","777","URIs Encountered"
"Total URI Crawled","666","85,71%","777","URIs Encountered"
"Total Internal blocked by robots.txt","0","0,00%","777","URIs Encountered"
"Total External blocked by robots.txt","111","14,29%","777","URIs Encountered"
""
"URIs Displayed","666","100,00%","666","URIs Displayed"
"Total Internal URI","528","79,28%","666","URIs Displayed"
"Total External URI","138","20,72%","666","URIs Displayed"
""
"Internal"
"All","528","100,00%","528","Internal URI"
"HTML","449","85,04%","528","Internal URI"
"JavaScript","12","2,27%","528","Internal URI"
"CSS","12","2,27%","528","Internal URI"
"Images","44","8,33%","528","Internal URI"
"PDF","8","1,52%","528","Internal URI"
"Flash","0","0,00%","528","Internal URI"
"Other","3","0,57%","528","Internal URI"
""
"External"
"All","138","100,00%","138","External URI"
"HTML","98","71,01%","138","External URI"
"JavaScript","2","1,45%","138","External URI"
"CSS","1","0,72%","138","External URI"
"Images","26","18,84%","138","External URI"
"PDF","10","7,25%","138","External URI"
"Flash","0","0,00%","138","External URI"
"Other","1","0,72%","138","External URI"
""
"Protocol"
"All","568","100,00%","568","All internal and non HTML external URIs"
"HTTP","378","66,55%","568","All internal and non HTML external URIs"
"HTTPS","190","33,45%","568","All internal and non HTML external URIs"
""
"Response Codes"
"All","666","100,00%","666","All Crawled URI"
"Blocked by Robots.txt","0","0,00%","666","All Crawled URI"
"Blocked Resource","0","0,00%","666","All Crawled URI"
"No Response","0","0,00%","666","All Crawled URI"
"Success (2xx)","567","85,14%","666","All Crawled URI"
"Redirection (3xx)","98","14,71%","666","All Crawled URI"
"Redirection (JavaScript)","0","0,00%","666","All Crawled URI"
"Redirection (Meta Refresh)","0","0,00%","666","All Crawled URI"
"Client Error (4xx)","1","0,15%","666","All Crawled URI"
"Server Error (5xx)","0","0,00%","666","All Crawled URI"
""
"Content"
"Large Pages (Over 100kb)","101","22,65%","446","Internal HTML pages with 2xx response"
"Low Content Pages (Under 300 Words)","187","41,93%","446","Internal HTML pages with 2xx response"
""
"URI"
"All","528","100,00%","528","Internal URI"
"Non ASCII Characters","40","7,58%","528","Internal URI"
"Underscores","20","3,79%","528","Internal URI"
"Uppercase","84","15,91%","528","Internal URI"
"Duplicate","0","0,00%","528","Internal URI"
"Parameters","83","15,72%","528","Internal URI"
